,image_id,image_path,ratio_category,entities,label,og_image
184,94e41c296bd7ffb3_m09rvcxw_d6d5aff7_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/deserted.jpeg,bin4,"['missile', 'rocket']",fake,94e41c296bd7ffb3
187,39988dc3a63d8751,original/images/OpenImages/39988dc3a63d8751.jpg,,"['pillow', 'chest of drawers']",real,
194,f49b39356ee510f4_m03d443_2c667277_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/squirrel.jpeg,bin5,['rhinoceros'],fake,f49b39356ee510f4
206,1fe7a99c23f64885_m03fwl_5cf9caaa_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/clear.jpeg,bin1,"['cattle', 'goat']",fake,1fe7a99c23f64885
221,97bd4d44d3eba27d_m01bqk0_d7c1edac_OpenImages_Kandinsky_2_2,"p2p/OpenImages/SDv4/grassy______+
_plain.jpeg",bin4,"['man', 'bicycle wheel']",fake,97bd4d44d3eba27d
248,bcb52a962e3bed87_m02vqfm_a96e4bc9_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/foggy.jpeg,bin5,"['tea', 'coffee (drink)', 'coffee cup', 'mug']",fake,bcb52a962e3bed87
251,ddb2047a165799b4_m01z1kdw_464fcb49_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/decorative.jpeg,bin4,"['cocktail', 'juice']",fake,ddb2047a165799b4
252,409fb6aa7a58f7fc_m0k5j_411c0b20_OpenImages_OpenJourney,p2p/OpenImages/SDv4/wooden_cabin_in_the_woods.jpeg,bin5,['aircraft'],fake,409fb6aa7a58f7fc
256,7836e79ccd8a924a_m02p0tk3_d1c86e37_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_snowy_day.jpeg,bin3,"['human body', 'horse', 'bull']",fake,7836e79ccd8a924a
269,279ca908e642fd7a_m01bl7v_2baaa389_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/motorcycle.jpeg,bin5,"['boy', 'human mouth']",fake,279ca908e642fd7a
279,b2916bddaa2d55eb_m021mn_01c63ee5_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/a_piano_in_a_concert_hall.jpeg,bin3,['cookie'],fake,b2916bddaa2d55eb
285,3d37a6b6be146c12,original/images/OpenImages/3d37a6b6be146c12.jpg,,['goat'],real,
291,00812a688e387d43_m01bfm9_d7781747_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/swimming_in.jpeg,bin4,['shorts'],fake,00812a688e387d43
299,26912ba548456bd8_m079cl_fa14470b_OpenImages_StableDiffusion_v4,"p2p/OpenImages/SDv5/women_++
.jpeg",bin5,['skyscraper'],fake,26912ba548456bd8
302,c3eed75afb2a6e35_m07clx_d6fb66fc_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/at_night.jpeg,bin4,"['spoon', 'coffee (drink)', 'saucer', 'coffee cup', 'tea']",fake,c3eed75afb2a6e35
306,c6d4685fc6df6d16,original/images/OpenImages/c6d4685fc6df6d16.jpg,,['tomato'],real,
341,ffa70a65bc910ea4_m026qbn5_4aa96570_OpenImages_OpenJourney,p2p/OpenImages/SDv4/motivated.jpeg,bin5,"['studio couch', 'couch']",fake,ffa70a65bc910ea4
344,f9cf7cec793a2988_m0l515_80b648a7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_botanical_garden.jpeg,bin4,"['coffee (drink)', 'coffee cup', 'mug', 'sandwich']",fake,f9cf7cec793a2988
355,e1ddd4103569fbab_m02l8p9_df248772_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/colorful.jpeg,bin5,"['harbor seal', 'sea lion', 'carnivore']",fake,e1ddd4103569fbab
359,fb43156f7d0a6b94_m099ssp_138f28e6_OpenImages_OpenJourney,p2p/OpenImages/SDv4/a_red_white.jpeg,bin3,"['platter', 'oyster']",fake,fb43156f7d0a6b94
377,54ba1ec0d85d45b1_m06m11_ba60c1e5_OpenImages_OpenJourney,p2p/OpenImages/SDv4/child.jpeg,bin4,"['vase', 'rose']",fake,54ba1ec0d85d45b1
380,ddb2047a165799b4_m01z1kdw_3f98c0b1_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/man.jpeg,bin4,"['cocktail', 'juice']",fake,ddb2047a165799b4
387,5a26ee6c6175ae97_m0_cp5_f7940825_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/snowy.jpeg,bin4,['oyster'],fake,5a26ee6c6175ae97
397,4e1a92be80a8d7f6_m01b638_fc2fb0dd_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/snowy.jpeg,bin4,['boot'],fake,4e1a92be80a8d7f6
401,63cb39d5401e1a6e_m01gkx__1902402b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sausage.jpeg,bin1,"['woman', 'swimwear']",fake,63cb39d5401e1a6e
412,28d5b8a619808f60_m0c9ph5_8af3740d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_thunderstorm.jpeg,bin5,['flower'],fake,28d5b8a619808f60
415,abed8a82f3e24f22_m02vqfm_9ce310e4_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_dry_day.jpeg,bin3,"['coffee (drink)', 'saucer', 'drink', 'coffee cup', 'tea']",fake,abed8a82f3e24f22
416,5855782749c3ed0b,original/images/OpenImages/5855782749c3ed0b.jpg,,"['billiard table', 'ball (object)']",real,
418,f820c39c5300de83_m03bt1vf_aaed1c4e_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_middle_of_the_ocean.jpeg,bin5,"['shorts', 'volleyball (ball)', 'woman']",fake,f820c39c5300de83
421,fa18e35a0def0b4f_m0cyhj__0213c64f_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/on_a_windy_day.jpeg,bin2,['orange (fruit)'],fake,fa18e35a0def0b4f
441,0ab25a872a3a628f,original/images/OpenImages/0ab25a872a3a628f.jpg,,['spoon'],real,
459,a0620646a2b9d6e7,original/images/OpenImages/a0620646a2b9d6e7.jpg,,"['cocktail', 'juice', 'lemon (plant)']",real,
460,b99df92d7b79dec8_m02p5f1q_a44cfa58_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/at_night.jpeg,bin5,"['spoon', 'coffee cup', 'drink']",fake,b99df92d7b79dec8
485,a83f96e6a35124c7_m084zz_ee42acf3_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/vase.jpeg,bin4,"['fish', 'whale', 'dolphin']",fake,a83f96e6a35124c7
491,a0620646a2b9d6e7_m024g6_be7de5be_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_beautiful_easter_sunday.jpeg,bin5,"['cocktail', 'juice', 'lemon (plant)']",fake,a0620646a2b9d6e7
496,14a839093eaba2d3_m02p3w7d_a3d9a64d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_the_heat_of_the_summer.jpeg,bin3,['roller skates'],fake,14a839093eaba2d3
508,e1065d5f5dbeac8b_m050k8_ea724a27_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/bunch_of_brightly_colored_flowers_would_brighten_up.jpeg,bin5,['mobile phone'],fake,e1065d5f5dbeac8b
509,39988dc3a63d8751_m05kyg__bc0870bb_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_stormy_day.jpeg,bin4,"['pillow', 'chest of drawers']",fake,39988dc3a63d8751
523,3d37a6b6be146c12_m03fwl_9798d876_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/at_night_with_a_bright_moon_and_stars_in_the_sky.jpeg,bin1,['goat'],fake,3d37a6b6be146c12
524,b6436a7302c5eaa4_m02p0tk3_fd5ad728_OpenImages_OpenJourney,p2p/OpenImages/SDv4/an_elderly.jpeg,bin3,"['human body', 'girl']",fake,b6436a7302c5eaa4
537,c3eed75afb2a6e35_m02vqfm_e6d677ff_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/stoic.jpeg,bin4,"['spoon', 'coffee (drink)', 'saucer', 'coffee cup', 'tea']",fake,c3eed75afb2a6e35
539,4f104caa8ad41cdf_m0hnyx_95cfefe3_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/sofa_and_a_tv.jpeg,bin2,['pastry'],fake,4f104caa8ad41cdf
548,bbfe88937357fd71,original/images/OpenImages/bbfe88937357fd71.jpg,,"['tart', 'tomato', 'cheese', 'bread']",real,
554,43200d1e5c86e555_m0jg57_e046de35_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/under_the_sun.jpeg,bin4,['bell pepper'],fake,43200d1e5c86e555
557,580b2fe0333192e0_m02vqfm_32b94d0d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/a_lunch_box.jpeg,bin5,"['coffee (drink)', 'coffee cup']",fake,580b2fe0333192e0
560,16af0e13b34bbe4d_m09qck_408e71c3_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/cooking.jpeg,bin3,['banana'],fake,16af0e13b34bbe4d
563,701d9f182fd8b979_m03hj559_cbd04d7e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/canal.jpeg,bin5,"['coffee cup', 'bowl', 'mixing bowl']",fake,701d9f182fd8b979
565,08e0a62e92643799_m0138tl_26a3f880_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_foggy_day.jpeg,bin4,['toy'],fake,08e0a62e92643799
574,6a951ffda4eb0a0b_m0c29q_3b6d8e40_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/ranch.jpeg,bin5,"['leopard', 'cheetah', 'jaguar (animal)']",fake,6a951ffda4eb0a0b
595,05122205d3994c32_m05vtc_d52573a4_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/experienced.jpeg,bin3,['potato'],fake,05122205d3994c32
609,229069c3eadf0cc4_m02p5f1q_704145db_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/with_a_monocular.jpeg,bin5,['coffee cup'],fake,229069c3eadf0cc4
622,701d9f182fd8b979_m03hj559_cbd04d7e_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/and_a_large_rug_on_the_floor.jpeg,bin5,"['coffee cup', 'bowl', 'mixing bowl']",fake,701d9f182fd8b979
624,873d1d9c65b7b7a1,original/images/OpenImages/873d1d9c65b7b7a1.jpg,,['swimwear'],real,
634,9cb33c4f6356a3c5_m01nkt_16ff5af2_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/morning_fog.jpeg,bin1,"['pizza', 'cheese']",fake,9cb33c4f6356a3c5
635,3d37a6b6be146c12_m03fwl_29b9b44c_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/pickup_truck.jpeg,bin2,['goat'],fake,3d37a6b6be146c12
638,28d5b8a619808f60_m0c9ph5_8af3740d_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/swimming_in_the_ocean.jpeg,bin5,['flower'],fake,28d5b8a619808f60
648,74b714ee6721e879_m0hf58v5_afef6879_OpenImages_OpenJourney,p2p/OpenImages/SDv4/car.jpeg,bin2,"['luggage and bags', 'girl']",fake,74b714ee6721e879
659,200eaae66a594057_m0fly7_a8485f64_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_stormy_day.jpeg,bin3,"['jeans', 'trousers']",fake,200eaae66a594057
663,b6436a7302c5eaa4,original/images/OpenImages/b6436a7302c5eaa4.jpg,,"['human body', 'girl']",real,
680,4f104caa8ad41cdf_m0hnyx_149d2b7b_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/a_dim.jpeg,bin2,['pastry'],fake,4f104caa8ad41cdf
683,4f7111413fecde01_m06k2mb_8e8ae3b8_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/sand.jpeg,bin4,['high heels'],fake,4f7111413fecde01
702,802539e8caa1611d_m01jfm__c569cf04_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/rowboat_on_a_lake.jpeg,bin2,"['car', 'vehicle registration plate']",fake,802539e8caa1611d
711,f84355fd72ad8eb1_m0388q_cc66954d_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/wooden.jpeg,bin3,['grape'],fake,f84355fd72ad8eb1
750,d1110b5eb76d4b0e_m0cyhj__3c31b4fc_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/in_a_deep_sea_diving_cave_lighting.jpeg,bin3,"['orange (fruit)', 'grapefruit']",fake,d1110b5eb76d4b0e
753,e1065d5f5dbeac8b_m050k8_ea724a27_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/an_abstract_painting.jpeg,bin5,['mobile phone'],fake,e1065d5f5dbeac8b
754,69c3fcecd632d261_m015p6_ecb85782_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/snow_on_the.jpeg,bin5,['bird'],fake,69c3fcecd632d261
779,175d58a18a0bd278,original/images/OpenImages/175d58a18a0bd278.jpg,,"['goose', 'duck']",real,
788,d78a5500403a56c0_m02gzp_ab6f184a_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/philosopher.jpeg,bin4,"['sword', 'dagger']",fake,d78a5500403a56c0
789,2ab74cc6cebb34d4,original/images/OpenImages/2ab74cc6cebb34d4.jpg,,['giraffe'],real,
817,7b4e7878bf1aecb3_m01tcjp_4d2978b0_OpenImages_OpenJourney,p2p/OpenImages/SDv4/bicycle.jpeg,bin4,['muffin'],fake,7b4e7878bf1aecb3
819,b728aa6f4c5280e3_m0fm3zh_7c642e22_OpenImages_OpenJourney,p2p/OpenImages/SDv4/during_a_thunderstorm.jpeg,bin3,"['vase', 'flowerpot']",fake,b728aa6f4c5280e3
822,5e25bb93819d7e8e,original/images/OpenImages/5e25bb93819d7e8e.jpg,,['rabbit'],real,
826,dbc3c0da2f3d57d8_m09f20_997733ae_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/shicanco.jpeg,bin4,['hippopotamus'],fake,dbc3c0da2f3d57d8
834,f7dc53f11acde989_m01dwwc_3d274f30_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/modern.jpeg,bin4,['pancake'],fake,f7dc53f11acde989
835,ef1c92617f2a63e3_m03bt1vf_afcadf69_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/row.jpeg,bin3,['woman'],fake,ef1c92617f2a63e3
843,200eaae66a594057_m0fly7_6a49ef32_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/a_fountain.jpeg,bin1,"['jeans', 'trousers']",fake,200eaae66a594057
844,8b286a528fde362d_m0342h_03276800_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/in_a_thunderstorm.jpeg,bin3,"['guitar', 'human body']",fake,8b286a528fde362d
857,622e074fe98116c3_m054fyh_82839786_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_elderly.jpeg,bin5,"['jug', 'pitcher (container)', 'flowerpot', 'vase']",fake,622e074fe98116c3
886,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/cherries_on_top.jpeg,bin5,"['horse', 'bull']",fake,86401ad43b4f7652
905,38776582a81af18f_m025nd_4cb0b1e7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/colorful.jpeg,bin5,"['christmas tree', 'toy']",fake,38776582a81af18f
949,43200d1e5c86e555_m0jg57_a275b772_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,bin5,['bell pepper'],fake,43200d1e5c86e555
954,b2916bddaa2d55eb_m021mn_7a072844_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_clear_day.jpeg,bin2,['cookie'],fake,b2916bddaa2d55eb
964,59d728940d54f997_m01cmb2_d70bd3f1_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/during_a_foggy_morning.jpeg,bin4,"['skirt', 'miniskirt', 'dress']",fake,59d728940d54f997
968,b58f1f88f8fbd38a_m01h8tj_399d73c3_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/of_classic_cars.jpeg,bin4,['starfish'],fake,b58f1f88f8fbd38a
980,1f29bf6f469ac1b7,original/images/OpenImages/1f29bf6f469ac1b7.jpg,,"['harbor seal', 'sea lion']",real,
985,8c1d24dcbaeec096_m02zn6n_e6e157d4_OpenImages_OpenJourney,p2p/OpenImages/SDv4/gymnasts.jpeg,bin3,['barrel'],fake,8c1d24dcbaeec096
987,5de7fc6ecb724cff_m07mhn_e8875a14_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/during_a_fireworks_show.jpeg,bin4,"['tie', 'trousers']",fake,5de7fc6ecb724cff
995,38776582a81af18f,original/images/OpenImages/38776582a81af18f.jpg,,"['christmas tree', 'toy']",real,
999,7ca419af2bf4b432_m0k5j_ea45c512_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/mountain_range.jpeg,bin5,"['aircraft', 'fixed-wing aircraft']",fake,7ca419af2bf4b432
1019,4f104caa8ad41cdf_m0hnyx_f33b7d78_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/blue.jpeg,bin3,['pastry'],fake,4f104caa8ad41cdf
1020,5c9e024962d5f0a7_m04_sv_df3b233a_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desert.jpeg,bin5,['motorcycle'],fake,5c9e024962d5f0a7
1024,500b6180c0d29747_m0dv77_7c88f2a8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/in_a_thunderstorm.jpeg,bin3,"['winter melon', 'squash (plant)']",fake,500b6180c0d29747
1048,516a2419668bd201_m0hkxq_5077f0b8_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/with_a_fireworks_display_in_the_background.jpeg,bin2,['broccoli'],fake,516a2419668bd201
1094,18eedb7aeb04344a_m0271t_5152465c_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/fluffy.jpeg,bin5,"['drink', 'beer']",fake,18eedb7aeb04344a
1101,175d58a18a0bd278_m09ddx_75ab843a_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/desert_dune.jpeg,bin4,"['goose', 'duck']",fake,175d58a18a0bd278
1109,05122205d3994c32_m05vtc_f1b9f1f2_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/during_a_thunderstorm.jpeg,bin2,['potato'],fake,05122205d3994c32
1112,2406df385f602b9b_m015x4r_c8f970ba_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_backyard_tree_house.jpeg,bin3,"['zucchini', 'cucumber']",fake,2406df385f602b9b
1130,b755836a8af2024b_m01j51_1a34de7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/child.jpeg,bin5,['balloon'],fake,b755836a8af2024b
1153,e86eaa23da78ed96,original/images/OpenImages/e86eaa23da78ed96.jpg,,"['van', 'limousine']",real,
1171,57d9906180d7a87d_m01gkx__e559119a_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/is_spraying_it.jpeg,bin1,"['surfboard', 'swimwear']",fake,57d9906180d7a87d
1193,38776582a81af18f_m025nd_4cb0b1e7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/gray.jpeg,bin5,"['christmas tree', 'toy']",fake,38776582a81af18f
1224,ee2687b634bb8fbe,original/images/OpenImages/ee2687b634bb8fbe.jpg,,"['croissant', 'bread']",real,
1248,2c5681a1d46ea716,original/images/OpenImages/2c5681a1d46ea716.jpg,,"['cake', 'strawberry']",real,
1255,8865694899bc5737_m0dbvp_db5b17e2_OpenImages_StableDiffusion_XL,"p2p/ADE20K/OJ/compassion_+++
.jpeg",bin1,['goose'],fake,8865694899bc5737
1257,18eedb7aeb04344a_m0271t_5152465c_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/with_fairy_lights_strung_across_the_railing_and_a_candle_lit_on_the_table.jpeg,bin5,"['drink', 'beer']",fake,18eedb7aeb04344a
1272,591039865a4d874a_m050k8_6d432a32_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/milk_on_a_rainy_day.jpeg,bin5,"['mobile phone', 'ipod']",fake,591039865a4d874a
1282,58d5304378bd430b,original/images/OpenImages/58d5304378bd430b.jpg,,"['shark', 'whale']",real,
1307,bcb52a962e3bed87_m07clx_38883a42_OpenImages_StableDiffusion_v4,"p2p/OpenImages/SDv5/hazelnut_breads,_and_cheddar.jpeg",bin5,"['tea', 'coffee (drink)', 'coffee cup', 'mug']",fake,bcb52a962e3bed87
1320,9157d7a27084111b_m026qbn5_a304e722_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/wreath.jpeg,bin2,"['studio couch', 'sofa bed', 'couch']",fake,9157d7a27084111b
1328,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_StableDiffusion_XL,"p2p/ADE20K/OJ/man's____++
_portrait.jpeg",bin5,['dress'],fake,fd280d46f9488014
1340,4211b2a300991531_m0cmf2_24614f5b_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_hot_day.jpeg,bin4,['fixed-wing aircraft'],fake,4211b2a300991531
1346,77342c4f2ac0f91b_m09ddx_3abe9daf_OpenImages_OpenJourney,p2p/OpenImages/SDv4/black_and_white.jpeg,bin4,"['goose', 'duck', 'swan']",fake,77342c4f2ac0f91b
1350,f9cf7cec793a2988_m0l515_80b648a7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/illuminated_by_firelight.jpeg,bin4,"['coffee (drink)', 'coffee cup', 'mug', 'sandwich']",fake,f9cf7cec793a2988
1384,4f7111413fecde01_m06k2mb_8e8ae3b8_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/laptop.jpeg,bin4,['high heels'],fake,4f7111413fecde01
1393,18eedb7aeb04344a_m01599_90771dd1_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/silvery_______+
.jpeg",bin5,"['drink', 'beer']",fake,18eedb7aeb04344a
1414,1c68ec73964a0332_m01x_v_5a8585bc_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_courtyard.jpeg,bin4,['camel'],fake,1c68ec73964a0332
1425,16af0e13b34bbe4d_m09qck_87ec5d99_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/park.jpeg,bin3,['banana'],fake,16af0e13b34bbe4d
1434,b58f1f88f8fbd38a_m01h8tj_399d73c3_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_snowy_day.jpeg,bin4,['starfish'],fake,b58f1f88f8fbd38a
1444,c698f4f101a2d16d,original/images/OpenImages/c698f4f101a2d16d.jpg,,"['bust', 'bronze sculpture']",real,
1453,5de7fc6ecb724cff_m07mhn_a228a16a_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/vintage.jpeg,bin4,"['tie', 'trousers']",fake,5de7fc6ecb724cff
1455,764b7a05c634c23f_m06k2mb_0fe393d6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_foggy_day.jpeg,bin5,"['high heels', 'boot']",fake,764b7a05c634c23f
1473,6a3f4cc422ca16d1_m0271t_63991dae_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/a_upbeat_tune_on.jpeg,bin5,"['drink', 'orange (fruit)', 'grapefruit']",fake,6a3f4cc422ca16d1
1535,c698f4f101a2d16d_m01yx86_cffae025_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/flowers_in_full_bloom_amongst_the_trees.jpeg,bin5,"['bust', 'bronze sculpture']",fake,c698f4f101a2d16d
1539,f722edf6695264e1_m03s_tn_9963884b_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/furry.jpeg,bin5,"['teapot', 'mug', 'kettle', 'saucer', 'coffee cup']",fake,f722edf6695264e1
